longitude,latitude
16.9638768,52.3994823
16.96298,52.3993
16.96261,52.39922
16.96233,52.39918
16.9623278,52.3991805
16.96233,52.39945
16.96232,52.39951
16.96231,52.39988
16.9623,52.39995
16.96225,52.40028
16.96224,52.4003
16.96221,52.40049
16.96219,52.40059
16.96219,52.40066
16.96219,52.40075
16.96221,52.40076
16.96222,52.40077
16.96222,52.40078
16.9623,52.40087
16.96243,52.40101
16.96247,52.40106
16.96248,52.40108
16.9625,52.40114
16.96253,52.40119
16.96255,52.40126
16.96263,52.40143
16.96263,52.401426
16.96296,52.40136
16.96326,52.40128
16.96346,52.4012
16.96362,52.40111
16.96378,52.40099
16.964,52.4008
16.96419,52.40064
